date,value
26-12-2018,19563.088
27-12-2018,27773.592
28-12-2018,38735.242
29-12-2018,47719.332
30-12-2018,6985.537
31-12-2018,7645.916
1-1-2019,8696.604
2-1-2019,8075.515
3-1-2019,8067.635
4-1-2019,7841.394
5-1-2019,7937.83
6-1-2019,7563.108
7-1-2019,7432.824
8-1-2019,7521.26
9-1-2019,7672.375
10-1-2019,7549.437
11-1-2019,7412.225
12-1-2019,7395.458
13-1-2019,7218.426
14-1-2019,7416.579
15-1-2019,6998.952
16-1-2019,6631.629
17-1-2019,6810.749
18-1-2019,6786.712
19-1-2019,6287.965
20-1-2019,5951.187
21-1-2019,6070.287
22-1-2019,6060.451
23-1-2019,5939.718
24-1-2019,5862.711
25-1-2019,5868.856
26-1-2019,5618.827
27-1-2019,6074.742
28-1-2019,5800.994
29-1-2019,5894.566
30-1-2019,6087.057
31-1-2019,6374.707
1-2-2019,6192.507
2-2-2019,6249.108
3-2-2019,6631.182
4-2-2019,6709.335
5-2-2019,6758.472
6-2-2019,6735.752
7-2-2019,6922.443
8-2-2019,6755.303
9-2-2019,6728.873
10-2-2019,6103.587
11-2-2019,6116.34
12-2-2019,5766.004
13-2-2019,5612.146
14-2-2019,5461.095
15-2-2019,5507.655
16-2-2019,5569.3
17-2-2019,4990.545
18-2-2019,5077.968
19-2-2019,5002.662
20-2-2019,4926.275
21-2-2019,4962.958
22-2-2019,4981.851
23-2-2019,4985.589
24-2-2019,4907.318
25-2-2019,4799.804
26-2-2019,4274.493
27-2-2019,4314.798
28-2-2019,4393.525
1-3-2019,4382.854
2-3-2019,4362.109
3-3-2019,4053.427
4-3-2019,4055.014
5-3-2019,4049.085
6-3-2019,4091.89
7-3-2019,3950.409
8-3-2019,4134.884
9-3-2019,4308.314
10-3-2019,4300.516
11-3-2019,4426.915
12-3-2019,4364.277
13-3-2019,4336.808
14-3-2019,4409.715
15-3-2019,4383.152
16-3-2019,4246.095
17-3-2019,3794.053
18-3-2019,4109.606
19-3-2019,4049.586
20-3-2019,4243.104
21-3-2019,4127.487
22-3-2019,4229.032
23-3-2019,4112.098
24-3-2019,4025.801
25-3-2019,4038.726
26-3-2019,4119.321
27-3-2019,4257.836
28-3-2019,4015.886
29-3-2019,4111.46
30-3-2019,4270.583
31-3-2019,4285.592
1-4-2019,4297.553
2-4-2019,4147.933
3-4-2019,4160.515
4-4-2019,4380.223
5-4-2019,4283.351
6-4-2019,4193.751
7-4-2019,4375.635
8-4-2019,4438.929
9-4-2019,4514.218
10-4-2019,4606.176
11-4-2019,4656.677
12-4-2019,4882.2
13-4-2019,4794.782
14-4-2019,4532.21
15-4-2019,4522.137
16-4-2019,4229.401
17-4-2019,4262.601
18-4-2019,4437.629
19-4-2019,4323.091
20-4-2019,4539.732
21-4-2019,4408.535
22-4-2019,4258.339
23-4-2019,4475.159
24-4-2019,4603.765
25-4-2019,4529.405
26-4-2019,4430.565
27-4-2019,4242.436
28-4-2019,3630.271
29-4-2019,3744.292
30-4-2019,3774.628
1-5-2019,3825.366
2-5-2019,3990.396
3-5-2019,4156.237
4-5-2019,4245.067
5-5-2019,4163.698
6-5-2019,4221.251
7-5-2019,4356.756
8-5-2019,4475.604
9-5-2019,4511.906
10-5-2019,4189.058
11-5-2019,4271.081
12-5-2019,4577.553
13-5-2019,4580.779
14-5-2019,4557.199
15-5-2019,4528.312
16-5-2019,4551.64
17-5-2019,4498.392
18-5-2019,4665.125
19-5-2019,4621.291
20-5-2019,4885.959
21-5-2019,5155.863
22-5-2019,5182.366
23-5-2019,5251.53
24-5-2019,5381.278
25-5-2019,5249.177
26-5-2019,5493.972
27-5-2019,5111.393
28-5-2019,5112.186
29-5-2019,5483.09
30-5-2019,5170.072
31-5-2019,4987.216
1-6-2019,5116.558
2-6-2019,5103.677
3-6-2019,4827.608
4-6-2019,5227.479
5-6-2019,5283.254
6-6-2019,5348.735
7-6-2019,5115.11
8-6-2019,5285.525
9-6-2019,5454.658
10-6-2019,5005.312
11-6-2019,5230.167
12-6-2019,5042.179
13-6-2019,5346.562
14-6-2019,5553.617
15-6-2019,5594.826
16-6-2019,5492.556
17-6-2019,5353.09
18-6-2019,5368.89
19-6-2019,5121.603
20-6-2019,5137.319
21-6-2019,4993.696
22-6-2019,4953.37
23-6-2019,4903.07
24-6-2019,4929.827
25-6-2019,4955.514
26-6-2019,4371.94
27-6-2019,4614.798
28-6-2019,4801.041
29-6-2019,4574.202
30-6-2019,4765.098
1-7-2019,4515.973
2-7-2019,4641.421
3-7-2019,4522.771
4-7-2019,4460.297
5-7-2019,4624.454
6-7-2019,4468.933
7-7-2019,4681.285
8-7-2019,4610.909
9-7-2019,4306.128
10-7-2019,4185.559
11-7-2019,4466.917
12-7-2019,4481.615
13-7-2019,4454.875
14-7-2019,4500.459
15-7-2019,4269.963
16-7-2019,4317.106
17-7-2019,4419.225
18-7-2019,4599.058
19-7-2019,4572.071
20-7-2019,4384.016
21-7-2019,4399.357
22-7-2019,4535.302
23-7-2019,4656.345
24-7-2019,4582.009
25-7-2019,4767.167
26-7-2019,4614.493
27-7-2019,4809.036
28-7-2019,4676.273
29-7-2019,4426.023
30-7-2019,4630.711
31-7-2019,4684.862
1-8-2019,4576.041
2-8-2019,4632.208
3-8-2019,4597.163
4-8-2019,4567.944
5-8-2019,4366.748
6-8-2019,4537.897
7-8-2019,4697.176
8-8-2019,4629.877
9-8-2019,4701.56
10-8-2019,4618.731
11-8-2019,4701.61
12-8-2019,4713.428
13-8-2019,4875.451
14-8-2019,4877.673
15-8-2019,4565.274
16-8-2019,4624.497
17-8-2019,4707.123
18-8-2019,4540.37
19-8-2019,4505.026
20-8-2019,4620.419
21-8-2019,4813.46
22-8-2019,4705.102
23-8-2019,4625.928
24-8-2019,4818.759
25-8-2019,4713.004
26-8-2019,4690.483
27-8-2019,4867.743
28-8-2019,5005.369
29-8-2019,4842.314
30-8-2019,4805.47
31-8-2019,4581.146
1-9-2019,4327.674
2-9-2019,4329.131
3-9-2019,4312.474
4-9-2019,4354.481
5-9-2019,4530.972
6-9-2019,4497.407
7-9-2019,4559.043
8-9-2019,4626.013
9-9-2019,4744.829
10-9-2019,4837.267
11-9-2019,4848.613
12-9-2019,4885.475
13-9-2019,4910.583
14-9-2019,4246.647
15-9-2019,4769.833
16-9-2019,4874.373
17-9-2019,4890.457
18-9-2019,4897.954
19-9-2019,4811.566
20-9-2019,4916.854
21-9-2019,4850.91
22-9-2019,4894.078
23-9-2019,4905.215
24-9-2019,4938.834
25-9-2019,4718.753
26-9-2019,4795.429
27-9-2019,4801.938
28-9-2019,5034.124
29-9-2019,4699.069
30-9-2019,4974.789
1-10-2019,4857.593
2-10-2019,5013.281
3-10-2019,4885.868
4-10-2019,4937.108
5-10-2019,4945.214
6-10-2019,4984.932
7-10-2019,5145.989
8-10-2019,5072.661
9-10-2019,5155.064
10-10-2019,5142.777
11-10-2019,4893.312
12-10-2019,5074.66
13-10-2019,5284.314
14-10-2019,5283.998
15-10-2019,5503.623
16-10-2019,5512.058
17-10-2019,5581.788
18-10-2019,4968.02
19-10-2019,5296.487
20-10-2019,5478.427
21-10-2019,5468.372
22-10-2019,5598.875
23-10-2019,5728.663
24-10-2019,5773.123
25-10-2019,5689.775
26-10-2019,5621.445
27-10-2019,5715.792
28-10-2019,5626.583
29-10-2019,5485.146
30-10-2019,5514.065
31-10-2019,5981.484
1-11-2019,5757.414
2-11-2019,5793.126
3-11-2019,5353.119
4-11-2019,5322.711
5-11-2019,5274.622
6-11-2019,5511.259
7-11-2019,5424.41
8-11-2019,5374.83
9-11-2019,5311.568
10-11-2019,5303.479
11-11-2019,5331.375
12-11-2019,5296.878
13-11-2019,5258.115
14-11-2019,5296.018
15-11-2019,5231.725
16-11-2019,5330.915
17-11-2019,5062.205
18-11-2019,5377.094
19-11-2019,5377.416
20-11-2019,5156.042
21-11-2019,5147.697
22-11-2019,5132.927
23-11-2019,5224.294
24-11-2019,5286.325
25-11-2019,5268.159
26-11-2019,5433.481
27-11-2019,5547.131
28-11-2019,5530.634
29-11-2019,5373.686
30-11-2019,5385.948
1-12-2019,4783.942
2-12-2019,4672.171
3-12-2019,5081.337
4-12-2019,5139.933
5-12-2019,5222.19
6-12-2019,5255.792
7-12-2019,5032.613
8-12-2019,5027.827
9-12-2019,5317.208
10-12-2019,5683.432
11-12-2019,5373.02
12-12-2019,5177.855
13-12-2019,5404.827
14-12-2019,5425.872
15-12-2019,5564.811
16-12-2019,5689.841
17-12-2019,5937.05
18-12-2019,6175.303
19-12-2019,6259.768
20-12-2019,5723.148
21-12-2019,5878.955
22-12-2019,5604.707
23-12-2019,5819.495
24-12-2019,5638.449
25-12-2019,5925.333
26-12-2019,6111.619
27-12-2019,6270.697
28-12-2019,5643.048
29-12-2019,6050.982
30-12-2019,5568.733
31-12-2019,6128.553
1-1-2020,5948.846
2-1-2020,5885.337
3-1-2020,5953.881
4-1-2020,6080.889
5-1-2020,5867.163
6-1-2020,5873.398
7-1-2020,5988.075
8-1-2020,6238.417
9-1-2020,6404.18
10-1-2020,6197.88
11-1-2020,6440.93
12-1-2020,6568.292
13-1-2020,6571.866
14-1-2020,6698.748
15-1-2020,6631.497
16-1-2020,6610.606
17-1-2020,6457.707
18-1-2020,6315.26
